Comment,Designator,Footprint,LCSC Part #
100nF,C4 C5 C6 C7 C8 C9 C12 C18,C0603,
100nF,C1,C1206,
10k,R1 R4 R5 R6,R0603,
10uF,C2,C0603,
1nF,C15 C16,C0603,
1uF,C17 C19,C0603,
1uF,C3,C1206,
22uF,C10 C11,C1206,
2K2,R2 R3,R0603,
4.7uF,C13 C14,C0603,
APS6404L,IC3,SMD,
CAY16-472J4LF,RN1,,
CH32V307,IC1,,
COM-14608,LED3 LED4 LED5 LED6 LED7 LED8 LED9,,
JTAG,DEBUG,ROUND,
LED,LED1 LED2 PWR,SML0805,
LM1117MPX-3.3,IC2,,
MCP6001RT-I_OT,IC4,,
MSD-11-A,J2,,
NRST,NRST,,
PCMS-134-02-S-D,PCMCIA,,
