Designator,Mid X,Mid Y,Layer,Rotation
C1,28.84,38.33,Top,270.0
C2,46.00,38.66,Top,270.0
C3,40.68,38.24,Top,90.0
C4,51.98,31.53,Top,270.0
C5,24.35,13.01,Top,135.0
C6,43.96,29.43,Top,315.0
C7,25.76,28.15,Top,135.0
C8,43.80,10.20,Top,0.0
C9,47.70,22.45,Top,0.0
C10,25.01,1.70,Top,0.0
C11,12.22,33.59,Top,0.0
C12,61.67,5.36,Top,270.0
C13,19.37,11.32,Top,270.0
C14,18.20,8.76,Top,180.0
C15,15.13,14.06,Top,180.0
C16,7.15,11.47,Top,270.0
C17,9.18,8.93,Top,180.0
C18,13.58,8.83,Top,0.0
C19,53.04,35.00,Top,180.0
DEBUG,46.47,3.98,Top,180.0
IC1,35.01,20.08,Top,270.0
IC2,34.96,38.08,Top,180.0
IC3,57.12,31.28,Top,0.0
IC4,13.63,11.57,Top,180.0
J2,73.29,8.92,Top,90.0
LED1,35.46,3.54,Top,270.0
LED2,33.40,3.47,Top,270.0
LED3,78.64,42.40,Top,270.0
LED4,78.62,38.95,Top,270.0
LED5,78.62,35.47,Top,270.0
LED6,78.62,31.99,Top,270.0
LED7,78.63,28.50,Top,270.0
LED8,78.66,25.01,Top,270.0
LED9,78.67,21.44,Top,270.0
NRST,49.03,35.69,Top,0.0
PCMCIA,0.21,22.09,Top,270.0
PWR,56.01,38.58,Top,90.0
R1,53.74,38.58,Top,90.0
R2,37.38,3.35,Top,270.0
R3,31.17,3.30,Top,270.0
R4,10.26,14.14,Top,0.0
R5,9.19,11.46,Top,270.0
R6,17.32,11.31,Top,270.0
RN1,59.11,19.10,Top,270.0
